trial_id,patient_id,patient_start_date,patient_end_date,diagnosis,medication,dosage_mg,age,gender,country,national_id,trial_name,start_date,end_date
114,P039,2023-03-14,2023-03-29,Diabetes,Drug_E,229,23,F,Germany,9328714523F,Combination Therapy - Trial 114,2023-02-10,2023-04-28
110,P171,2023-03-15,2023-04-17,Diabetes,Drug_E,64,45,M,UK,SS057334Y,High Dose - Trial 110,2023-02-04,2023-05-16
109,P085,2023-03-03,2023-04-16,Diabetes,Drug_E,223,71,M,Spain,86227043J,Low Dose - Trial 109,2023-03-01,2023-05-07
101,P285,2023-01-24,2023-04-11,Diabetes,Drug_E,276,76,F,MEX,BEDC726099HAM7B6,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
112,P378,2023-02-11,2023-03-08,Hypertension,Drug_C,320,69,F,Spain,80235086A,New Drug Evaluation - Trial 112,2023-01-08,2023-03-21
107,P483,2023-02-21,2023-03-25,Diabetes,Drug_E,125,71,F,ARG,20-77211630-6,Low Dose - Trial 107,2023-01-11,2023-04-13
103,P320,2023-04-08,2023-05-24,Hypertension,Drug_D,356,40,F,UK,VM151348S,High Dose - Trial 103,2023-02-22,2023-05-26
105,P182,2023-01-02,2023-03-17,Cardiovascular,Drug_B,460,69,M,Spain,15871014J,Combination Therapy - Trial 105,2023-01-02,2023-03-26
106,P310,2023-03-16,2023-04-02,Diabetes,Drug_E,436,77,F,MEX,YQND628465HPGRY9,Combination Therapy - Trial 106,2023-02-12,2023-04-17
119,P180,2023-02-19,2023-03-27,Diabetes,Drug_E,26,48,F,MEX,JAKE494492HEXP2R,Low Dose - Trial 119,2023-02-11,2023-03-31
105,P042,2023-01-31,2023-03-04,Diabetes,Drug_E,54,31,F,UK,GQ718991W,Combination Therapy - Trial 105,2023-01-02,2023-03-26
100,P364,2023-02-05,2023-03-03,Hypertension,Drug_C,334,37,M,ARG,27-15406323-9,High Dose - Trial 100,2023-02-04,2023-03-07
105,P197,2023-01-29,2023-02-23,Diabetes,Drug_E,109,52,F,ARG,23-28355632-1,Combination Therapy - Trial 105,2023-01-02,2023-03-26
102,P096,2023-03-15,2023-04-01,Cardiovascular,Drug_A,308,21,F,UK,NN170789F,Low Dose - Trial 102,2023-03-02,2023-04-24
100,P355,2023-02-14,2023-03-06,Cardiovascular,Drug_A,27,29,F,Germany,9675161460M,High Dose - Trial 100,2023-02-04,2023-03-07
118,P468,2023-02-14,2023-04-20,Hypertension,Drug_C,39,24,F,Germany,2792822037M,New Drug Evaluation - Trial 118,2023-01-28,2023-05-28
100,P329,2023-02-19,2023-03-06,Hypertension,Drug_D,118,63,F,UK,FI726523X,High Dose - Trial 100,2023-02-04,2023-03-07
116,P152,2023-02-23,2023-03-15,Hypertension,Drug_D,112,76,F,Spain,00961402P,High Dose - Trial 116,2023-01-29,2023-03-23
115,P248,2023-03-16,2023-04-17,Diabetes,Drug_E,161,30,F,Germany,5803656819F,Combination Therapy - Trial 115,2023-02-07,2023-05-17
107,P248,2023-02-25,2023-03-13,Diabetes,Drug_E,403,30,F,Germany,5803656819F,Low Dose - Trial 107,2023-01-11,2023-04-13
117,P277,2023-02-16,2023-04-10,Cardiovascular,Drug_B,439,61,M,MEX,QPRZ611354MVMJ3L,Low Dose - Trial 117,2023-01-22,2023-04-16
113,P083,2023-01-24,2023-02-14,Hypertension,Drug_C,382,59,M,ARG,27-33488673-7,Combination Therapy - Trial 113,2023-01-01,2023-02-18
117,P110,2023-02-22,2023-03-23,Hypertension,Drug_C,184,56,M,ARG,20-90287410-5,Low Dose - Trial 117,2023-01-22,2023-04-16
107,P228,2023-01-19,2023-03-07,Cardiovascular,Drug_A,279,25,F,MEX,VXGH445872HXBFQI,Low Dose - Trial 107,2023-01-11,2023-04-13
102,P304,2023-03-10,2023-04-02,Cardiovascular,Drug_A,97,49,M,ARG,23-59563182-6,Low Dose - Trial 102,2023-03-02,2023-04-24
117,P177,2023-01-22,2023-03-07,Hypertension,Drug_C,126,42,M,Spain,55152217P,Low Dose - Trial 117,2023-01-22,2023-04-16
115,P177,2023-02-11,2023-03-26,Cardiovascular,Drug_A,19,42,M,Spain,55152217P,Combination Therapy - Trial 115,2023-02-07,2023-05-17
100,P051,2023-02-16,2023-03-03,Diabetes,Drug_E,451,40,M,UK,LH693904K,High Dose - Trial 100,2023-02-04,2023-03-07
103,P333,2023-03-24,2023-05-26,Hypertension,Drug_D,90,33,F,Spain,52284147O,High Dose - Trial 103,2023-02-22,2023-05-26
107,P467,2023-02-23,2023-03-24,Diabetes,Drug_E,298,77,F,Germany,6797283155F,Low Dose - Trial 107,2023-01-11,2023-04-13
100,P238,2023-02-07,2023-02-25,Diabetes,Drug_E,177,54,M,MEX,ZNST443863MJUOAH,High Dose - Trial 100,2023-02-04,2023-03-07
101,P190,2023-01-18,2023-04-02,Diabetes,Drug_E,73,67,F,ARG,23-96896753-9,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
101,P335,2023-02-16,2023-03-16,Hypertension,Drug_D,103,55,M,ARG,20-76911483-3,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
105,P500,2023-01-02,2023-01-17,Diabetes,Drug_E,135,32,F,Spain,69161989A,Combination Therapy - Trial 105,2023-01-02,2023-03-26
106,P052,2023-02-15,2023-04-12,Hypertension,Drug_D,188,24,F,MEX,NCVK095943MZH5I3,Combination Therapy - Trial 106,2023-02-12,2023-04-17
117,P143,2023-02-03,2023-04-15,Hypertension,Drug_C,71,62,F,Germany,6218955890F,Low Dose - Trial 117,2023-01-22,2023-04-16
102,P377,2023-03-19,2023-04-20,Hypertension,Drug_C,229,39,M,MEX,JJDD439782MNI8ID,Low Dose - Trial 102,2023-03-02,2023-04-24
107,P499,2023-02-01,2023-03-07,Hypertension,Drug_C,445,52,M,Spain,00713610F,Low Dose - Trial 107,2023-01-11,2023-04-13
102,P382,2023-03-28,2023-04-19,Hypertension,Drug_C,78,60,M,UK,DG423176G,Low Dose - Trial 102,2023-03-02,2023-04-24
109,P357,2023-03-23,2023-04-22,Hypertension,Drug_C,489,40,F,Spain,02431970J,Low Dose - Trial 109,2023-03-01,2023-05-07
101,P262,2023-03-05,2023-05-05,Hypertension,Drug_C,386,36,F,ARG,23-77284106-8,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
114,P018,2023-03-11,2023-03-29,Diabetes,Drug_E,236,34,F,ARG,20-83364513-2,Combination Therapy - Trial 114,2023-02-10,2023-04-28
114,P446,2023-02-11,2023-04-21,Diabetes,Drug_E,320,31,F,Germany,0975119864F,Combination Therapy - Trial 114,2023-02-10,2023-04-28
104,P293,2023-02-14,2023-03-21,Cardiovascular,Drug_A,315,72,M,MEX,FIAD995407MQFGT9,Long-Term Study - Trial 104,2023-01-23,2023-03-24
110,P162,2023-02-28,2023-03-16,Cardiovascular,Drug_A,181,62,M,Germany,7941702909F,High Dose - Trial 110,2023-02-04,2023-05-16
119,P408,2023-03-01,2023-03-16,Cardiovascular,Drug_B,61,53,F,Spain,60337124C,Low Dose - Trial 119,2023-02-11,2023-03-31
108,P057,2023-03-08,2023-03-30,Cardiovascular,Drug_A,43,39,F,MEX,GSDZ406380HLRHL7,New Drug Evaluation - Trial 108,2023-02-26,2023-04-15
101,P091,2023-03-07,2023-03-23,Diabetes,Drug_E,382,66,F,ARG,23-17634272-4,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
108,P257,2023-03-16,2023-04-08,Cardiovascular,Drug_A,97,26,M,UK,XK642489X,New Drug Evaluation - Trial 108,2023-02-26,2023-04-15
119,P417,2023-02-27,2023-03-16,Cardiovascular,Drug_A,185,72,F,UK,QM216001N,Low Dose - Trial 119,2023-02-11,2023-03-31
113,P092,2023-01-22,2023-02-08,Hypertension,Drug_D,18,79,M,MEX,ODUG807023MXSETL,Combination Therapy - Trial 113,2023-01-01,2023-02-18
104,P124,2023-01-27,2023-03-17,Hypertension,Drug_D,397,55,F,ARG,23-77863447-5,Long-Term Study - Trial 104,2023-01-23,2023-03-24
109,P153,2023-03-26,2023-04-22,Hypertension,Drug_C,175,44,F,ARG,27-07780935-3,Low Dose - Trial 109,2023-03-01,2023-05-07
101,P153,2023-01-19,2023-03-11,Hypertension,Drug_D,380,44,F,ARG,27-07780935-3,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
113,P046,2023-01-11,2023-02-07,Hypertension,Drug_C,481,77,F,MEX,WVWI279402MCIPY8,Combination Therapy - Trial 113,2023-01-01,2023-02-18
117,P464,2023-02-19,2023-04-09,Diabetes,Drug_E,38,26,F,ARG,27-84989892-4,Low Dose - Trial 117,2023-01-22,2023-04-16
117,P061,2023-02-24,2023-04-04,Hypertension,Drug_C,35,47,M,Germany,1947051149M,Low Dose - Trial 117,2023-01-22,2023-04-16
100,P188,2023-02-12,2023-02-27,Hypertension,Drug_C,308,66,M,Germany,4888876036F,High Dose - Trial 100,2023-02-04,2023-03-07
119,P472,2023-02-25,2023-03-14,Diabetes,Drug_E,149,33,M,UK,RF738732X,Low Dose - Trial 119,2023-02-11,2023-03-31
104,P108,2023-02-09,2023-03-20,Cardiovascular,Drug_B,87,54,F,Spain,99317249T,Long-Term Study - Trial 104,2023-01-23,2023-03-24
100,P200,2023-02-12,2023-03-07,Cardiovascular,Drug_B,304,62,M,UK,YX239589D,High Dose - Trial 100,2023-02-04,2023-03-07
114,P298,2023-03-18,2023-04-13,Diabetes,Drug_E,306,67,F,ARG,27-07368704-6,Combination Therapy - Trial 114,2023-02-10,2023-04-28
113,P298,2023-01-22,2023-02-17,Diabetes,Drug_E,241,67,F,ARG,27-07368704-6,Combination Therapy - Trial 113,2023-01-01,2023-02-18
104,P047,2023-02-13,2023-03-09,Hypertension,Drug_C,334,68,M,UK,MP087005X,Long-Term Study - Trial 104,2023-01-23,2023-03-24
116,P155,2023-02-17,2023-03-06,Hypertension,Drug_C,192,46,M,Germany,9978803832M,High Dose - Trial 116,2023-01-29,2023-03-23
114,P155,2023-03-19,2023-04-26,Cardiovascular,Drug_A,452,46,M,Germany,9978803832M,Combination Therapy - Trial 114,2023-02-10,2023-04-28
110,P452,2023-02-22,2023-03-15,Cardiovascular,Drug_B,418,40,M,Spain,29235535O,High Dose - Trial 110,2023-02-04,2023-05-16
116,P119,2023-02-05,2023-03-21,Hypertension,Drug_C,368,62,F,Germany,7407989012M,High Dose - Trial 116,2023-01-29,2023-03-23
103,P100,2023-04-01,2023-04-17,Cardiovascular,Drug_A,12,69,M,UK,TS759212Z,High Dose - Trial 103,2023-02-22,2023-05-26
101,P246,2023-01-10,2023-05-05,Cardiovascular,Drug_B,363,63,M,Spain,46778006H,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
113,P218,2023-01-20,2023-02-11,Cardiovascular,Drug_B,424,50,F,UK,HF234338T,Combination Therapy - Trial 113,2023-01-01,2023-02-18
105,P324,2023-02-08,2023-03-11,Hypertension,Drug_D,249,60,M,Germany,8635780333F,Combination Therapy - Trial 105,2023-01-02,2023-03-26
117,P210,2023-02-26,2023-03-29,Cardiovascular,Drug_A,492,31,M,MEX,NQHU744630MHIZR0,Low Dose - Trial 117,2023-01-22,2023-04-16
100,P210,2023-02-10,2023-03-07,Hypertension,Drug_D,106,31,M,MEX,NQHU744630MHIZR0,High Dose - Trial 100,2023-02-04,2023-03-07
112,P138,2023-01-27,2023-03-14,Cardiovascular,Drug_B,297,57,F,ARG,20-86695195-8,New Drug Evaluation - Trial 112,2023-01-08,2023-03-21
114,P138,2023-02-16,2023-04-02,Cardiovascular,Drug_B,86,57,F,ARG,20-86695195-8,Combination Therapy - Trial 114,2023-02-10,2023-04-28
111,P005,2023-01-26,2023-02-15,Hypertension,Drug_C,392,21,F,MEX,UCLD118048MDIIDU,New Drug Evaluation - Trial 111,2023-01-19,2023-04-01
112,P206,2023-02-07,2023-02-24,Hypertension,Drug_D,96,79,F,MEX,FDSB675673HNBU8D,New Drug Evaluation - Trial 112,2023-01-08,2023-03-21
102,P363,2023-03-09,2023-03-28,Diabetes,Drug_E,214,25,M,ARG,20-89778754-0,Low Dose - Trial 102,2023-03-02,2023-04-24
106,P099,2023-02-26,2023-04-11,Diabetes,Drug_E,215,20,M,UK,KN738583G,Combination Therapy - Trial 106,2023-02-12,2023-04-17
107,P323,2023-01-22,2023-04-01,Cardiovascular,Drug_B,97,52,M,Spain,86716810R,Low Dose - Trial 107,2023-01-11,2023-04-13
104,P440,2023-02-15,2023-03-06,Hypertension,Drug_C,26,68,F,ARG,27-98769524-0,Long-Term Study - Trial 104,2023-01-23,2023-03-24
108,P453,2023-03-13,2023-04-10,Hypertension,Drug_D,106,79,F,Spain,29246946P,New Drug Evaluation - Trial 108,2023-02-26,2023-04-15
105,P185,2023-01-18,2023-03-18,Hypertension,Drug_D,304,55,F,ARG,23-40951606-6,Combination Therapy - Trial 105,2023-01-02,2023-03-26
104,P214,2023-02-06,2023-03-24,Diabetes,Drug_E,255,33,M,Germany,8188705018F,Long-Term Study - Trial 104,2023-01-23,2023-03-24
106,P144,2023-02-17,2023-04-05,Hypertension,Drug_C,372,23,F,ARG,27-54655800-8,Combination Therapy - Trial 106,2023-02-12,2023-04-17
104,P041,2023-01-26,2023-03-05,Cardiovascular,Drug_B,283,53,F,UK,FS121007I,Long-Term Study - Trial 104,2023-01-23,2023-03-24
108,P289,2023-03-20,2023-04-10,Diabetes,Drug_E,223,50,M,UK,MH352361S,New Drug Evaluation - Trial 108,2023-02-26,2023-04-15
114,P102,2023-02-13,2023-04-19,Hypertension,Drug_D,362,29,F,Germany,7311184625M,Combination Therapy - Trial 114,2023-02-10,2023-04-28
100,P097,2023-02-04,2023-03-03,Cardiovascular,Drug_A,303,62,M,Germany,7859979723M,High Dose - Trial 100,2023-02-04,2023-03-07
100,P224,2023-02-11,2023-02-26,Hypertension,Drug_C,139,53,M,ARG,20-25818059-4,High Dose - Trial 100,2023-02-04,2023-03-07
117,P212,2023-01-26,2023-03-16,Hypertension,Drug_D,254,60,M,UK,AC508369B,Low Dose - Trial 117,2023-01-22,2023-04-16
100,P481,2023-02-13,2023-02-28,Cardiovascular,Drug_A,225,45,M,Germany,6932482435F,High Dose - Trial 100,2023-02-04,2023-03-07
113,P075,2023-01-04,2023-02-04,Diabetes,Drug_E,17,52,M,UK,FW239471B,Combination Therapy - Trial 113,2023-01-01,2023-02-18
113,P370,2023-01-17,2023-02-12,Hypertension,Drug_D,170,45,F,MEX,DNMX964532HPEF89,Combination Therapy - Trial 113,2023-01-01,2023-02-18
115,P370,2023-03-07,2023-04-25,Hypertension,Drug_D,268,45,F,MEX,DNMX964532HPEF89,Combination Therapy - Trial 115,2023-02-07,2023-05-17
116,P205,2023-02-12,2023-03-08,Hypertension,Drug_D,390,51,M,UK,LO693372U,High Dose - Trial 116,2023-01-29,2023-03-23
109,P301,2023-03-07,2023-04-21,Diabetes,Drug_E,428,22,F,UK,EU398767S,Low Dose - Trial 109,2023-03-01,2023-05-07
107,P055,2023-02-22,2023-04-12,Hypertension,Drug_C,335,62,F,MEX,DKMT159253MFRSDA,Low Dose - Trial 107,2023-01-11,2023-04-13
106,P477,2023-03-14,2023-04-14,Hypertension,Drug_C,16,47,M,MEX,PZEM330556MNCXMF,Combination Therapy - Trial 106,2023-02-12,2023-04-17
113,P487,2023-01-22,2023-02-11,Diabetes,Drug_E,196,29,M,UK,NL670213R,Combination Therapy - Trial 113,2023-01-01,2023-02-18
116,P487,2023-01-29,2023-03-18,Cardiovascular,Drug_A,480,29,M,UK,NL670213R,High Dose - Trial 116,2023-01-29,2023-03-23
113,P094,2023-01-13,2023-02-07,Diabetes,Drug_E,217,29,F,ARG,23-43569678-1,Combination Therapy - Trial 113,2023-01-01,2023-02-18
101,P094,2023-03-02,2023-03-20,Diabetes,Drug_E,496,29,F,ARG,23-43569678-1,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
101,P365,2023-01-19,2023-03-07,Diabetes,Drug_E,305,79,F,MEX,BSSK029676HBB6KZ,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
103,P007,2023-03-02,2023-04-07,Cardiovascular,Drug_A,105,78,F,MEX,GWDR522929HAGBD2,High Dose - Trial 103,2023-02-22,2023-05-26
101,P007,2023-01-25,2023-02-25,Diabetes,Drug_E,65,78,F,MEX,GWDR522929HAGBD2,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
116,P373,2023-02-20,2023-03-21,Diabetes,Drug_E,386,45,M,Germany,1631180040F,High Dose - Trial 116,2023-01-29,2023-03-23
113,P236,2023-01-04,2023-01-27,Hypertension,Drug_C,37,57,F,Spain,58017366B,Combination Therapy - Trial 113,2023-01-01,2023-02-18
101,P139,2023-01-11,2023-02-15,Diabetes,Drug_E,23,36,M,ARG,23-76541497-9,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
118,P380,2023-03-22,2023-05-17,Hypertension,Drug_C,63,23,M,UK,EI368573Y,New Drug Evaluation - Trial 118,2023-01-28,2023-05-28
119,P076,2023-02-20,2023-03-25,Diabetes,Drug_E,485,49,M,Germany,3240372092M,Low Dose - Trial 119,2023-02-11,2023-03-31
109,P076,2023-03-05,2023-04-22,Hypertension,Drug_C,111,49,M,Germany,3240372092M,Low Dose - Trial 109,2023-03-01,2023-05-07
117,P052,2023-02-28,2023-04-11,Hypertension,Drug_D,463,24,F,MEX,NCVK095943MZH5I3,Low Dose - Trial 117,2023-01-22,2023-04-16
104,P045,2023-02-12,2023-03-01,Diabetes,Drug_E,350,25,F,MEX,AKRT763853MBS9PB,Long-Term Study - Trial 104,2023-01-23,2023-03-24
101,P392,2023-03-01,2023-04-23,Cardiovascular,Drug_A,500,53,M,ARG,23-39283378-4,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
111,P392,2023-01-19,2023-03-07,Cardiovascular,Drug_A,131,53,M,ARG,23-39283378-4,New Drug Evaluation - Trial 111,2023-01-19,2023-04-01
102,P443,2023-03-04,2023-04-08,Diabetes,Drug_E,190,54,M,Spain,19627606H,Low Dose - Trial 102,2023-03-02,2023-04-24
110,P071,2023-03-18,2023-04-30,Diabetes,Drug_E,414,37,M,Germany,9006748544F,High Dose - Trial 110,2023-02-04,2023-05-16
101,P420,2023-01-21,2023-05-02,Diabetes,Drug_E,434,35,M,Germany,7636719207F,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
107,P149,2023-02-16,2023-04-06,Cardiovascular,Drug_B,126,49,F,ARG,27-05684394-8,Low Dose - Trial 107,2023-01-11,2023-04-13
118,P112,2023-01-29,2023-03-09,Hypertension,Drug_D,273,31,F,Spain,54381961A,New Drug Evaluation - Trial 118,2023-01-28,2023-05-28
102,P426,2023-03-02,2023-04-20,Cardiovascular,Drug_B,426,53,M,Germany,1651272164F,Low Dose - Trial 102,2023-03-02,2023-04-24
116,P011,2023-02-12,2023-03-07,Diabetes,Drug_E,462,30,F,Germany,5156792580F,High Dose - Trial 116,2023-01-29,2023-03-23
112,P358,2023-01-15,2023-02-08,Diabetes,Drug_E,342,33,M,Germany,7468354285F,New Drug Evaluation - Trial 112,2023-01-08,2023-03-21
111,P358,2023-01-23,2023-03-23,Diabetes,Drug_E,179,33,M,Germany,7468354285F,New Drug Evaluation - Trial 111,2023-01-19,2023-04-01
107,P090,2023-02-01,2023-03-11,Hypertension,Drug_D,439,62,M,MEX,CVZR690228MYUBSE,Low Dose - Trial 107,2023-01-11,2023-04-13
103,P090,2023-03-15,2023-04-04,Hypertension,Drug_C,140,62,M,MEX,CVZR690228MYUBSE,High Dose - Trial 103,2023-02-22,2023-05-26
106,P367,2023-02-20,2023-04-17,Diabetes,Drug_E,77,39,F,Spain,24235762A,Combination Therapy - Trial 106,2023-02-12,2023-04-17
113,P288,2023-01-13,2023-02-10,Diabetes,Drug_E,38,74,F,ARG,23-86071149-4,Combination Therapy - Trial 113,2023-01-01,2023-02-18
102,P446,2023-03-09,2023-04-20,Diabetes,Drug_E,331,31,F,Germany,0975119864F,Low Dose - Trial 102,2023-03-02,2023-04-24
118,P075,2023-03-28,2023-04-16,Cardiovascular,Drug_B,70,52,M,UK,FW239471B,New Drug Evaluation - Trial 118,2023-01-28,2023-05-28
101,P424,2023-01-16,2023-02-08,Hypertension,Drug_C,483,27,M,ARG,20-23734635-7,New Drug Evaluation - Trial 101,2023-01-08,2023-05-05
112,P270,2023-01-27,2023-03-13,Diabetes,Drug_E,453,51,M,ARG,23-06556424-3,New Drug Evaluation - Trial 112,2023-01-08,2023-03-21
114,P270,2023-02-20,2023-03-17,Hypertension,Drug_D,97,51,M,ARG,23-06556424-3,Combination Therapy - Trial 114,2023-02-10,2023-04-28
114,P043,2023-02-24,2023-03-29,Cardiovascular,Drug_A,228,53,M,UK,CN913493J,Combination Therapy - Trial 114,2023-02-10,2023-04-28
109,P286,2023-03-03,2023-03-25,Cardiovascular,Drug_A,392,76,M,ARG,27-69968219-3,Low Dose - Trial 109,2023-03-01,2023-05-07
100,P171,2023-02-05,2023-02-24,Diabetes,Drug_E,72,45,M,UK,SS057334Y,High Dose - Trial 100,2023-02-04,2023-03-07
103,P253,2023-03-22,2023-05-08,Cardiovascular,Drug_A,69,69,M,Germany,4880048049F,High Dose - Trial 103,2023-02-22,2023-05-26
115,P360,2023-02-09,2023-04-01,Hypertension,Drug_D,379,76,F,Germany,4730400416F,Combination Therapy - Trial 115,2023-02-07,2023-05-17
104,P181,2023-02-12,2023-03-19,Diabetes,Drug_E,70,26,M,UK,YX343604L,Long-Term Study - Trial 104,2023-01-23,2023-03-24
111,P181,2023-01-31,2023-03-01,Diabetes,Drug_E,489,26,M,UK,YX343604L,New Drug Evaluation - Trial 111,2023-01-19,2023-04-01
106,P329,2023-03-15,2023-04-04,Hypertension,Drug_C,500,63,F,UK,FI726523X,Combination Therapy - Trial 106,2023-02-12,2023-04-17
107,P329,2023-02-21,2023-03-19,Diabetes,Drug_E,499,63,F,UK,FI726523X,Low Dose - Trial 107,2023-01-11,2023-04-13
119,P074,2023-02-23,2023-03-21,Hypertension,Drug_D,52,54,M,MEX,FHSU828891MZF6F8,Low Dose - Trial 119,2023-02-11,2023-03-31
115,P167,2023-03-07,2023-05-13,Diabetes,Drug_E,292,37,F,UK,PT423360J,Combination Therapy - Trial 115,2023-02-07,2023-05-17
111,P101,2023-02-07,2023-03-14,Cardiovascular,Drug_A,12,63,M,ARG,27-65396116-0,New Drug Evaluation - Trial 111,2023-01-19,2023-04-01
116,P101,2023-02-02,2023-03-06,Cardiovascular,Drug_A,348,63,M,ARG,27-65396116-0,High Dose - Trial 116,2023-01-29,2023-03-23
107,P010,2023-02-02,2023-02-25,Hypertension,Drug_C,344,70,F,Spain,11790594R,Low Dose - Trial 107,2023-01-11,2023-04-13
116,P421,2023-02-13,2023-03-09,Hypertension,Drug_C,92,20,F,Spain,88267384F,High Dose - Trial 116,2023-01-29,2023-03-23
108,P054,2023-03-22,2023-04-13,Diabetes,Drug_E,123,35,M,MEX,NVIZ445527MHEQOE,New Drug Evaluation - Trial 108,2023-02-26,2023-04-15
107,P258,2023-01-16,2023-02-09,Diabetes,Drug_E,394,33,M,MEX,PXPO774601MAIMPO,Low Dose - Trial 107,2023-01-11,2023-04-13
114,P431,2023-03-06,2023-04-13,Diabetes,Drug_E,157,28,F,Germany,8145115318M,Combination Therapy - Trial 114,2023-02-10,2023-04-28
119,P058,2023-02-23,2023-03-20,Cardiovascular,Drug_B,418,28,M,ARG,27-63681246-6,Low Dose - Trial 119,2023-02-11,2023-03-31
114,P387,2023-02-27,2023-03-15,Cardiovascular,Drug_A,468,75,F,Germany,8844035676M,Combination Therapy - Trial 114,2023-02-10,2023-04-28
104,P395,2023-02-17,2023-03-10,Cardiovascular,Drug_A,55,51,F,MEX,GPTR477433MRSUOV,Long-Term Study - Trial 104,2023-01-23,2023-03-24
106,P009,2023-03-05,2023-04-17,Diabetes,Drug_E,423,29,M,UK,EF455287P,Combination Therapy - Trial 106,2023-02-12,2023-04-17
118,P409,2023-03-17,2023-05-26,Hypertension,Drug_C,10,71,M,Spain,43312143X,New Drug Evaluation - Trial 118,2023-01-28,2023-05-28
